sale_id,timestamp,item_id,customer_id,city,quantity,unit_price,total_price
9371,2025-09-29 15:57:07,swim-goggles,596,Constanța,1,10.82,10.82
9372,2025-09-29 15:53:13,paperback-novel,927,Iași,3,10.15,30.45
9373,2025-09-29 18:49:17,scented-candle,766,Timișoara,2,6.47,12.94
9374,2025-09-29 21:26:42,usb-charger,955,Brașov,1,13.94,13.94
9375,2025-09-29 12:47:18,scented-candle,247,Iași,1,6.47,6.47
9376,2025-09-29 18:11:39,winter-gloves,1239,Constanța,1,15.99,15.99
9377,2025-09-29 18:37:19,garden-hose,1009,Constanța,1,18.84,18.84
9378,2025-09-29 18:02:03,garden-hose,722,Constanța,1,18.84,18.84
9379,2025-09-29 15:23:53,beach-ball,770,Cluj-Napoca,1,4.25,4.25
9380,2025-09-29 15:20:27,paperback-novel,1060,București,1,10.15,10.15
9381,2025-09-29 09:37:40,headphones,1242,Cluj-Napoca,1,21.57,21.57
9382,2025-09-29 18:16:34,notebook-a5,1383,Iași,1,3.44,3.44
9383,2025-09-29 12:00:56,swim-goggles,739,Cluj-Napoca,1,10.82,10.82
9384,2025-09-29 15:25:12,headphones,121,Iași,1,21.57,21.57
9385,2025-09-29 15:37:28,board-game,303,Constanța,1,21.96,21.96
